                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8814,                 2.9291,                 1.9294,                 0.3676,                   0.24,                0.28082,                0.10768,                 1.6191,                 2.9252,                 1.7703,               0.070231,              0.0033077,              0.0033077
                      1,                 1.6653,                 2.2223,                  1.732,                0.84444,                   0.32,                0.41716,                0.20337,                 2.1051,                 2.4324,                  2.034,               0.040121,              0.0065314,              0.0065314
                      2,                 1.6947,                 2.0561,                  1.773,                0.23075,                   0.56,                0.30903,                0.13233,                 2.1123,                 4.3769,                 2.0069,              0.0099016,              0.0096452,              0.0096452
                      3,                  1.755,                 2.0677,                 1.8129,                0.86042,                   0.04,                0.04535,                0.01845,                 2.6178,                 4.6732,                 3.1589,               0.009505,               0.009505,               0.009505
                      4,                 1.7456,                 2.0056,                 1.8072,                0.66276,                   0.44,                0.48687,                0.18445,                 2.2411,                 2.5906,                 2.1161,               0.009505,               0.009505,               0.009505
                      5,                 1.7172,                 1.9319,                 1.8172,                0.34627,                0.61463,                0.37611,                0.11683,                 2.3487,                 2.6764,                 2.2587,                0.00934,                0.00934,                0.00934
                      6,                 1.6959,                 1.8389,                  1.785,                0.98877,                   0.48,                0.65369,                0.24863,                 2.3124,                 1.8982,                 2.2064,               0.009175,               0.009175,               0.009175
                      7,                 1.6813,                 1.8327,                 1.7743,                0.96243,                   0.48,                0.62473,                0.22836,                 2.3242,                 2.0498,                 2.3165,                0.00901,                0.00901,                0.00901
                      8,                 1.6495,                 1.7503,                 1.7476,                0.72253,                    0.6,                0.70729,                0.30746,                   2.19,                 1.7726,                 2.0771,               0.008845,               0.008845,               0.008845
                      9,                 1.6373,                 1.6954,                 1.7389,                0.47879,                0.62495,                0.60341,                0.18325,                 2.3742,                 1.9331,                 2.3399,                0.00868,                0.00868,                0.00868
                     10,                  1.638,                 1.6904,                 1.7369,                0.93303,                    0.6,                0.68629,                0.25419,                 2.1949,                 1.6874,                 2.1262,               0.008515,               0.008515,               0.008515
                     11,                 1.6076,                  1.635,                 1.7267,                0.83255,                   0.68,                0.74351,                0.28016,                 2.2754,                 1.7707,                 2.1799,                0.00835,                0.00835,                0.00835
                     12,                 1.5939,                 1.6327,                 1.6966,                0.80622,                   0.72,                0.76584,                 0.3028,                 2.1806,                 1.5191,                 2.0975,               0.008185,               0.008185,               0.008185
                     13,                 1.5923,                 1.6321,                 1.6976,                 0.7514,                0.72558,                0.79025,                0.28833,                 2.2654,                 1.5874,                 2.1304,                0.00802,                0.00802,                0.00802
                     14,                 1.5534,                 1.5648,                 1.6749,                0.90338,                   0.76,                0.85286,                0.30621,                 2.2998,                 1.4663,                 2.2042,               0.007855,               0.007855,               0.007855
                     15,                  1.584,                 1.5478,                 1.6787,                0.63795,                   0.64,                0.61964,                0.27497,                 2.2199,                  2.166,                 2.1002,                0.00769,                0.00769,                0.00769
                     16,                 1.5518,                 1.5454,                  1.681,                0.87997,                   0.64,                0.75677,                0.26293,                 2.2581,                 1.6212,                 2.1266,               0.007525,               0.007525,               0.007525
                     17,                 1.5553,                 1.5148,                 1.6608,                0.70864,                   0.64,                0.65857,                0.26376,                 2.2014,                 2.0901,                 2.1048,                0.00736,                0.00736,                0.00736
                     18,                 1.5349,                  1.518,                 1.6601,                0.63977,                   0.64,                0.64884,                0.24017,                 2.3586,                 1.6788,                 2.1914,               0.007195,               0.007195,               0.007195
                     19,                 1.5311,                 1.4524,                 1.6501,                0.98451,                   0.56,                0.72398,                0.27774,                 2.1512,                 1.4022,                 2.0019,                0.00703,                0.00703,                0.00703
                     20,                 1.5246,                 1.4553,                  1.633,                0.73263,                    0.8,                0.73603,                0.28795,                 2.3589,                 1.2966,                 2.2356,               0.006865,               0.006865,               0.006865
                     21,                 1.5032,                 1.4156,                 1.6097,                0.74957,                   0.64,                0.67069,                0.26269,                 2.4083,                 1.6705,                 2.2905,                 0.0067,                 0.0067,                 0.0067
                     22,                 1.4873,                 1.3642,                 1.6081,                0.85958,                   0.72,                0.71489,                0.26715,                 2.3201,                 1.5053,                 2.2502,               0.006535,               0.006535,               0.006535
                     23,                 1.5006,                  1.385,                 1.6262,                0.81711,                   0.72,                0.74729,                0.23484,                 2.4103,                 1.5169,                 2.2192,                0.00637,                0.00637,                0.00637
                     24,                 1.4768,                  1.351,                 1.5953,                0.88784,                0.63358,                0.74804,                 0.2668,                 2.5008,                 1.4854,                 2.2695,               0.006205,               0.006205,               0.006205
                     25,                 1.4727,                  1.338,                 1.5976,                 0.8839,                   0.72,                0.80392,                0.33407,                  2.099,                 1.5323,                 1.9395,                0.00604,                0.00604,                0.00604
                     26,                 1.4606,                 1.3329,                  1.602,                0.83322,                   0.72,                0.74856,                0.26295,                 2.4563,                 1.4562,                 2.2644,               0.005875,               0.005875,               0.005875
                     27,                 1.4664,                 1.3362,                  1.605,                0.86095,                0.74342,                0.83149,                0.32647,                 2.1482,                 1.3025,                 1.9881,                0.00571,                0.00571,                0.00571
                     28,                 1.4678,                 1.3214,                 1.6017,                0.64575,                   0.76,                0.68858,                0.24544,                 2.4613,                 1.6667,                 2.3847,               0.005545,               0.005545,               0.005545
                     29,                 1.4192,                 1.2673,                 1.5595,                0.80828,                0.67478,                0.73026,                0.29652,                 2.2088,                 1.6014,                 2.0053,                0.00538,                0.00538,                0.00538
                     30,                 1.4312,                 1.2535,                 1.5623,                0.79632,                   0.72,                0.75547,                0.35562,                 1.9827,                 1.3304,                 1.9207,               0.005215,               0.005215,               0.005215
                     31,                 1.4128,                 1.2583,                 1.5619,                0.75289,                   0.76,                0.71971,                0.29245,                 2.2306,                 1.4252,                 2.0509,                0.00505,                0.00505,                0.00505
                     32,                 1.4183,                 1.2494,                 1.5607,                0.67703,                   0.68,                0.66318,                0.25732,                 2.3971,                 1.3025,                 2.2349,               0.004885,               0.004885,               0.004885
                     33,                 1.4143,                 1.2374,                 1.5514,                0.79808,                0.79076,                 0.8022,                0.36055,                 2.0994,                 1.2851,                 1.9572,                0.00472,                0.00472,                0.00472
                     34,                 1.3945,                 1.2193,                 1.5315,                0.48423,                   0.68,                0.61436,                0.26838,                 2.3363,                  1.491,                 2.3045,               0.004555,               0.004555,               0.004555
                     35,                 1.3876,                 1.2206,                 1.5444,                0.96663,                    0.6,                0.73795,                 0.2457,                 2.4214,                 1.5187,                 2.1889,                0.00439,                0.00439,                0.00439
                     36,                 1.3944,                 1.1808,                 1.5366,                0.95364,                    0.6,                0.79869,                0.31098,                 2.1717,                 1.2727,                  2.007,               0.004225,               0.004225,               0.004225
                     37,                 1.3783,                 1.1888,                 1.5221,                 0.6301,                   0.84,                0.79625,                0.29774,                  2.179,                 1.3014,                 2.0866,                0.00406,                0.00406,                0.00406
                     38,                 1.3653,                 1.1465,                 1.5125,                      1,                0.67743,                0.72424,                0.29216,                 2.3018,                 1.5288,                 2.1522,               0.003895,               0.003895,               0.003895
                     39,                 1.3436,                 1.1318,                  1.504,                0.94448,                   0.64,                0.71468,                0.37021,                 1.9457,                 1.4303,                 1.8365,                0.00373,                0.00373,                0.00373
                     40,                 1.3494,                 1.1414,                 1.5015,                0.87236,                   0.68,                0.75066,                0.31974,                  2.196,                 1.4807,                 2.1242,               0.003565,               0.003565,               0.003565
                     41,                 1.3398,                 1.1048,                 1.4919,                0.99225,                   0.68,                0.76653,                0.27589,                 2.2616,                 1.4093,                 2.1164,                 0.0034,                 0.0034,                 0.0034
                     42,                  1.331,                   1.11,                  1.501,                0.89019,                   0.68,                0.77794,                 0.3588,                 1.8727,                 1.2352,                 1.7707,               0.003235,               0.003235,               0.003235
                     43,                 1.3251,                 1.0955,                 1.4809,                0.60316,                    0.6,                0.68332,                0.30889,                 2.1482,                 1.3013,                 1.9735,                0.00307,                0.00307,                0.00307
                     44,                 1.3129,                 1.0755,                 1.4778,                0.79981,                   0.72,                0.74849,                0.32533,                 2.1311,                 1.2951,                 1.9658,               0.002905,               0.002905,               0.002905
                     45,                  1.288,                 1.0589,                 1.4624,                0.87943,                   0.68,                0.71606,                0.26028,                 2.4541,                 1.4733,                 2.3336,                0.00274,                0.00274,                0.00274
                     46,                 1.2904,                 1.0392,                 1.4547,                0.97544,                   0.68,                0.81178,                 0.3333,                 2.1678,                 1.2411,                 2.0183,               0.002575,               0.002575,               0.002575
                     47,                 1.2811,                  1.056,                 1.4562,                0.66846,                   0.76,                 0.7126,                0.35621,                 1.9951,                 1.5436,                 1.8928,                0.00241,                0.00241,                0.00241
                     48,                 1.2865,                 1.0393,                 1.4463,                 0.8241,                   0.68,                0.68681,                0.33675,                 2.1251,                 1.4478,                 1.9971,               0.002245,               0.002245,               0.002245
                     49,                 1.2758,                 1.0325,                 1.4525,                0.74731,                0.71008,                0.72645,                0.35031,                 2.0018,                 1.4815,                 1.9422,                0.00208,                0.00208,                0.00208
                     50,                 1.2764,                0.90364,                  1.478,                0.65482,                   0.84,                0.80552,                0.33084,                 2.1321,                 1.3887,                 1.9649,               0.001915,               0.001915,               0.001915
                     51,                 1.2432,                0.83686,                 1.4573,                 0.7826,                   0.76,                0.80523,                0.35777,                 2.0198,                 1.2918,                 1.9053,                0.00175,                0.00175,                0.00175
                     52,                 1.2147,                0.83125,                 1.4362,                0.83072,                0.78559,                 0.8307,                0.39068,                 1.8862,                 1.2767,                 1.8249,               0.001585,               0.001585,               0.001585
                     53,                 1.2112,                0.80147,                 1.4256,                0.97763,                   0.68,                0.77668,                0.38799,                 1.9129,                 1.2052,                 1.8774,                0.00142,                0.00142,                0.00142
                     54,                 1.1938,                0.78188,                 1.4095,                      1,                0.63108,                0.78175,                0.40895,                 1.9614,                 1.1211,                 1.8644,               0.001255,               0.001255,               0.001255
                     55,                 1.1673,                0.77234,                   1.39,                0.97897,                   0.68,                0.74189,                0.39493,                 2.0497,                 1.1973,                 1.9581,                0.00109,                0.00109,                0.00109
                     56,                 1.1663,                0.76528,                 1.3882,                0.87981,                   0.76,                0.77215,                0.40407,                 1.8433,                 1.2128,                 1.8429,               0.000925,               0.000925,               0.000925
                     57,                 1.1426,                0.74085,                 1.3751,                0.88394,                   0.76,                0.83779,                0.33225,                 2.0972,                 1.3678,                 2.0311,                0.00076,                0.00076,                0.00076
                     58,                 1.1312,                0.72711,                 1.3615,                0.92967,                   0.76,                0.80296,                0.36388,                 1.9247,                 1.1731,                 1.8829,               0.000595,               0.000595,               0.000595
                     59,                 1.1233,                0.72659,                 1.3491,                0.98052,                   0.76,                0.80751,                0.36677,                 2.0911,                 1.2257,                 2.0537,                0.00043,                0.00043,                0.00043
